column_name,data_type,nullable,default_value,profile,status,used_in_schema,used_in_frontend,notes
voice_name,VARCHAR,True,es-MX-DaliaNeural,browser,pending_validation,unknown,unknown,
voice_language,VARCHAR,True,es-MX,browser,pending_validation,unknown,unknown,
voice_style,VARCHAR,True,,browser,pending_validation,unknown,unknown,
voice_speed,FLOAT,True,1.0,browser,pending_validation,unknown,unknown,
voice_speed_phone,FLOAT,True,0.9,phone,pending_validation,unknown,unknown,
voice_pitch,INTEGER,True,0,browser,pending_validation,unknown,unknown,
voice_volume,INTEGER,True,100,browser,pending_validation,unknown,unknown,
voice_style_degree,FLOAT,True,1.0,browser,pending_validation,unknown,unknown,
voice_stability,FLOAT,True,0.5,browser,pending_validation,unknown,unknown,
voice_similarity_boost,FLOAT,True,0.75,browser,pending_validation,unknown,unknown,
voice_style_exaggeration,FLOAT,True,0.0,browser,pending_validation,unknown,unknown,
voice_speaker_boost,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
voice_multilingual,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
tts_latency_optimization,INTEGER,True,0,browser,pending_validation,unknown,unknown,
tts_output_format,VARCHAR,True,pcm_16000,browser,pending_validation,unknown,unknown,
voice_filler_injection,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
voice_backchanneling,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
text_normalization_rule,VARCHAR,True,auto,browser,pending_validation,unknown,unknown,
pronunciation_dictionary,JSON,True,,browser,pending_validation,unknown,unknown,
temperature,FLOAT,True,0.7,browser,pending_validation,unknown,unknown,
context_window,INTEGER,True,10,browser,pending_validation,unknown,unknown,
frequency_penalty,FLOAT,True,0.0,browser,pending_validation,unknown,unknown,
presence_penalty,FLOAT,True,0.0,browser,pending_validation,unknown,unknown,
tool_choice,VARCHAR,True,auto,browser,pending_validation,unknown,unknown,
dynamic_vars_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
dynamic_vars,JSON,True,,browser,pending_validation,unknown,unknown,
background_sound,VARCHAR,True,none,browser,pending_validation,unknown,unknown,
idle_timeout,FLOAT,True,10.0,browser,pending_validation,unknown,unknown,
idle_message,TEXT,True,¿Sigues ahí?,browser,pending_validation,unknown,unknown,
inactivity_max_retries,INTEGER,True,2,browser,pending_validation,unknown,unknown,
max_duration,INTEGER,True,600,browser,pending_validation,unknown,unknown,
first_message,VARCHAR,True,"Hola, soy Andrea de Ubrokers. ¿Me escucha bien?",browser,pending_validation,unknown,unknown,
first_message_mode,VARCHAR,True,speak-first,browser,pending_validation,unknown,unknown,
max_tokens,INTEGER,True,250,browser,pending_validation,unknown,unknown,
response_length,VARCHAR,True,short,browser,pending_validation,unknown,unknown,
conversation_tone,VARCHAR,True,warm,browser,pending_validation,unknown,unknown,
conversation_formality,VARCHAR,True,semi_formal,browser,pending_validation,unknown,unknown,
conversation_pacing,VARCHAR,True,moderate,browser,pending_validation,unknown,unknown,
stt_provider_phone,VARCHAR,True,azure,phone,pending_validation,unknown,unknown,
stt_language_phone,VARCHAR,True,es-MX,phone,pending_validation,unknown,unknown,
stt_model_phone,VARCHAR,True,nova-2,phone,pending_validation,unknown,unknown,
stt_keywords_phone,JSON,True,,phone,pending_validation,unknown,unknown,
stt_silence_timeout_phone,INTEGER,True,500,phone,pending_validation,unknown,unknown,
stt_utterance_end_strategy_phone,VARCHAR,True,default,phone,pending_validation,unknown,unknown,
stt_punctuation_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
stt_profanity_filter_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
stt_smart_formatting_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
stt_diarization_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
stt_multilingual_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
llm_provider_phone,VARCHAR,True,groq,phone,pending_validation,unknown,unknown,
llm_model_phone,VARCHAR,True,llama-3.3-70b-versatile,phone,pending_validation,unknown,unknown,
system_prompt_phone,TEXT,True,,phone,pending_validation,unknown,unknown,
tts_provider_phone,VARCHAR,True,azure,phone,pending_validation,unknown,unknown,
voice_language_phone,VARCHAR,True,es-MX,phone,pending_validation,unknown,unknown,
voice_name_phone,VARCHAR,True,es-MX-DaliaNeural,phone,pending_validation,unknown,unknown,
voice_style_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
voice_pitch_phone,INTEGER,True,0,phone,pending_validation,unknown,unknown,
voice_volume_phone,INTEGER,True,100,phone,pending_validation,unknown,unknown,
voice_style_degree_phone,FLOAT,True,1.0,phone,pending_validation,unknown,unknown,
voice_stability_phone,FLOAT,True,0.5,phone,pending_validation,unknown,unknown,
voice_similarity_boost_phone,FLOAT,True,0.75,phone,pending_validation,unknown,unknown,
voice_style_exaggeration_phone,FLOAT,True,0.0,phone,pending_validation,unknown,unknown,
voice_speaker_boost_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
voice_multilingual_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
tts_latency_optimization_phone,INTEGER,True,0,phone,pending_validation,unknown,unknown,
tts_output_format_phone,VARCHAR,True,pcm_8000,phone,pending_validation,unknown,unknown,
voice_filler_injection_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
voice_backchanneling_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
text_normalization_rule_phone,VARCHAR,True,auto,phone,pending_validation,unknown,unknown,
pronunciation_dictionary_phone,JSON,True,,phone,pending_validation,unknown,unknown,
temperature_phone,FLOAT,True,0.7,phone,pending_validation,unknown,unknown,
context_window_phone,INTEGER,True,10,phone,pending_validation,unknown,unknown,
frequency_penalty_phone,FLOAT,True,0.0,phone,pending_validation,unknown,unknown,
presence_penalty_phone,FLOAT,True,0.0,phone,pending_validation,unknown,unknown,
tool_choice_phone,VARCHAR,True,auto,phone,pending_validation,unknown,unknown,
dynamic_vars_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
dynamic_vars_phone,JSON,True,,phone,pending_validation,unknown,unknown,
background_sound_phone,VARCHAR,True,none,phone,pending_validation,unknown,unknown,
first_message_phone,VARCHAR,True,"Hola, soy Andrea de Ubrokers. ¿Me escucha bien?",phone,pending_validation,unknown,unknown,
first_message_mode_phone,VARCHAR,True,speak-first,phone,pending_validation,unknown,unknown,
max_tokens_phone,INTEGER,True,250,phone,pending_validation,unknown,unknown,
initial_silence_timeout_ms_phone,INTEGER,True,30000,phone,pending_validation,unknown,unknown,
input_min_characters_phone,INTEGER,True,4,phone,pending_validation,unknown,unknown,
enable_denoising_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
extra_settings_phone,JSON,True,,phone,pending_validation,unknown,unknown,
twilio_machine_detection,VARCHAR,True,Enable,browser,pending_validation,unknown,unknown,
twilio_record,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
twilio_recording_channels,VARCHAR,True,dual,browser,pending_validation,unknown,unknown,
twilio_trim_silence,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
voice_id_manual,VARCHAR,True,,browser,pending_validation,unknown,unknown,
background_sound_url,VARCHAR,True,,browser,pending_validation,unknown,unknown,
input_min_characters,INTEGER,True,2,browser,pending_validation,unknown,unknown,
hallucination_blacklist,VARCHAR,True,"Pero.,Y...,Mm.,Oye.,Ah.",browser,pending_validation,unknown,unknown,
hallucination_blacklist_phone,VARCHAR,True,"Pero.,Y...,Mm.,Oye.,Ah.",phone,pending_validation,unknown,unknown,
voice_pacing_ms,INTEGER,True,300,browser,pending_validation,unknown,unknown,
voice_pacing_ms_phone,INTEGER,True,500,phone,pending_validation,unknown,unknown,
punctuation_boundaries,VARCHAR,True,,browser,pending_validation,unknown,unknown,
silence_timeout_ms,INTEGER,True,500,browser,pending_validation,unknown,unknown,
silence_timeout_ms_phone,INTEGER,True,2000,phone,pending_validation,unknown,unknown,
segmentation_max_time,INTEGER,True,30000,browser,pending_validation,unknown,unknown,
segmentation_strategy,VARCHAR,True,default,browser,pending_validation,unknown,unknown,
enable_denoising,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
initial_silence_timeout_ms,INTEGER,True,30000,browser,pending_validation,unknown,unknown,
voice_sensitivity,INTEGER,True,500,browser,pending_validation,unknown,unknown,
voice_sensitivity_phone,INTEGER,True,3000,phone,pending_validation,unknown,unknown,
vad_threshold,FLOAT,True,0.5,browser,pending_validation,unknown,unknown,
vad_threshold_phone,FLOAT,True,0.5,phone,pending_validation,unknown,unknown,
vad_threshold_telnyx,FLOAT,True,0.5,telnyx,pending_validation,unknown,unknown,
stt_provider_telnyx,VARCHAR,True,azure,telnyx,pending_validation,unknown,unknown,
stt_language_telnyx,VARCHAR,True,es-MX,telnyx,pending_validation,unknown,unknown,
stt_model_telnyx,VARCHAR,True,nova-2,telnyx,pending_validation,unknown,unknown,
stt_keywords_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
stt_silence_timeout_telnyx,INTEGER,True,500,telnyx,pending_validation,unknown,unknown,
stt_utterance_end_strategy_telnyx,VARCHAR,True,default,telnyx,pending_validation,unknown,unknown,
stt_punctuation_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
stt_profanity_filter_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
stt_smart_formatting_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
stt_diarization_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
stt_multilingual_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
llm_provider_telnyx,VARCHAR,True,groq,telnyx,pending_validation,unknown,unknown,
llm_model_telnyx,VARCHAR,True,llama-3.3-70b-versatile,telnyx,pending_validation,unknown,unknown,
system_prompt_telnyx,TEXT,True,,telnyx,pending_validation,unknown,unknown,
tts_provider_telnyx,VARCHAR,True,azure,telnyx,pending_validation,unknown,unknown,
voice_language_telnyx,VARCHAR,True,es-MX,telnyx,pending_validation,unknown,unknown,
voice_name_telnyx,VARCHAR,True,es-MX-DaliaNeural,telnyx,pending_validation,unknown,unknown,
voice_style_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
voice_pitch_telnyx,INTEGER,True,0,telnyx,pending_validation,unknown,unknown,
voice_volume_telnyx,INTEGER,True,100,telnyx,pending_validation,unknown,unknown,
voice_style_degree_telnyx,FLOAT,True,1.0,telnyx,pending_validation,unknown,unknown,
voice_stability_telnyx,FLOAT,True,0.5,telnyx,pending_validation,unknown,unknown,
voice_similarity_boost_telnyx,FLOAT,True,0.75,telnyx,pending_validation,unknown,unknown,
voice_style_exaggeration_telnyx,FLOAT,True,0.0,telnyx,pending_validation,unknown,unknown,
voice_speaker_boost_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
voice_multilingual_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
tts_latency_optimization_telnyx,INTEGER,True,0,telnyx,pending_validation,unknown,unknown,
tts_output_format_telnyx,VARCHAR,True,pcm_8000,telnyx,pending_validation,unknown,unknown,
voice_filler_injection_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
voice_backchanneling_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
text_normalization_rule_telnyx,VARCHAR,True,auto,telnyx,pending_validation,unknown,unknown,
pronunciation_dictionary_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
temperature_telnyx,FLOAT,True,0.7,telnyx,pending_validation,unknown,unknown,
context_window_telnyx,INTEGER,True,10,telnyx,pending_validation,unknown,unknown,
frequency_penalty_telnyx,FLOAT,True,0.0,telnyx,pending_validation,unknown,unknown,
presence_penalty_telnyx,FLOAT,True,0.0,telnyx,pending_validation,unknown,unknown,
tool_choice_telnyx,VARCHAR,True,auto,telnyx,pending_validation,unknown,unknown,
dynamic_vars_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
dynamic_vars_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
background_sound_telnyx,VARCHAR,True,none,telnyx,pending_validation,unknown,unknown,
background_sound_url_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
first_message_telnyx,VARCHAR,True,"Hola, soy Andrea de Ubrokers. ¿Me escucha bien?",telnyx,pending_validation,unknown,unknown,
first_message_mode_telnyx,VARCHAR,True,speak-first,telnyx,pending_validation,unknown,unknown,
max_tokens_telnyx,INTEGER,True,250,telnyx,pending_validation,unknown,unknown,
initial_silence_timeout_ms_telnyx,INTEGER,True,30000,telnyx,pending_validation,unknown,unknown,
input_min_characters_telnyx,INTEGER,True,4,telnyx,pending_validation,unknown,unknown,
enable_denoising_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
voice_pacing_ms_telnyx,INTEGER,True,500,telnyx,pending_validation,unknown,unknown,
silence_timeout_ms_telnyx,INTEGER,True,2000,telnyx,pending_validation,unknown,unknown,
interruption_threshold_telnyx,INTEGER,True,2,telnyx,pending_validation,unknown,unknown,
hallucination_blacklist_telnyx,VARCHAR,True,"Pero.,Y...,Mm.,Oye.,Ah.",telnyx,pending_validation,unknown,unknown,
voice_speed_telnyx,FLOAT,True,0.9,telnyx,pending_validation,unknown,unknown,
voice_sensitivity_telnyx,INTEGER,True,3000,telnyx,pending_validation,unknown,unknown,
enable_krisp_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
noise_suppression_level_telnyx,VARCHAR,True,balanced,telnyx,pending_validation,unknown,unknown,
enable_vad_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
audio_codec_telnyx,VARCHAR,True,PCMU,telnyx,pending_validation,unknown,unknown,
enable_backchannel_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
idle_timeout_telnyx,FLOAT,True,20.0,telnyx,pending_validation,unknown,unknown,
max_duration_telnyx,INTEGER,True,600,telnyx,pending_validation,unknown,unknown,
idle_message_telnyx,VARCHAR,True,¿Hola? ¿Sigue ahí?,telnyx,pending_validation,unknown,unknown,
enable_recording_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
amd_config_telnyx,VARCHAR,True,disabled,telnyx,pending_validation,unknown,unknown,
max_retries_telnyx,INTEGER,True,3,telnyx,pending_validation,unknown,unknown,
concurrency_limit_telnyx,INTEGER,True,,telnyx,pending_validation,unknown,unknown,
daily_spend_limit_telnyx,FLOAT,True,,telnyx,pending_validation,unknown,unknown,
environment_tag_telnyx,VARCHAR,True,development,telnyx,pending_validation,unknown,unknown,
privacy_mode_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
audit_log_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
enable_end_call,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
enable_dial_keypad,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
transfer_phone_number,VARCHAR,True,,browser,pending_validation,unknown,unknown,
crm_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
baserow_token,VARCHAR,True,,browser,pending_validation,unknown,unknown,
baserow_table_id,INTEGER,True,,browser,pending_validation,unknown,unknown,
webhook_url,VARCHAR,True,,browser,pending_validation,unknown,unknown,
webhook_secret,VARCHAR,True,,browser,pending_validation,unknown,unknown,
is_active,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
barge_in_enabled,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
interruption_sensitivity,FLOAT,True,0.5,browser,pending_validation,unknown,unknown,
interruption_phrases,JSON,True,,browser,pending_validation,unknown,unknown,
barge_in_enabled_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
interruption_sensitivity_phone,FLOAT,True,0.8,phone,pending_validation,unknown,unknown,
interruption_phrases_phone,JSON,True,,phone,pending_validation,unknown,unknown,
barge_in_enabled_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
interruption_sensitivity_telnyx,FLOAT,True,0.8,telnyx,pending_validation,unknown,unknown,
interruption_phrases_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
voicemail_detection_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
voicemail_message,TEXT,True,"Hola, llamaba de Ubrokers. Le enviaré un WhatsApp.",browser,pending_validation,unknown,unknown,
machine_detection_sensitivity,FLOAT,True,0.7,browser,pending_validation,unknown,unknown,
voicemail_detection_enabled_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
voicemail_message_phone,TEXT,True,"Hola, llamaba de Ubrokers. Le enviaré un WhatsApp.",phone,pending_validation,unknown,unknown,
machine_detection_sensitivity_phone,FLOAT,True,0.7,phone,pending_validation,unknown,unknown,
voicemail_detection_enabled_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
voicemail_message_telnyx,TEXT,True,"Hola, llamaba de Ubrokers. Le enviaré un WhatsApp.",telnyx,pending_validation,unknown,unknown,
machine_detection_sensitivity_telnyx,FLOAT,True,0.7,telnyx,pending_validation,unknown,unknown,
response_delay_seconds,FLOAT,True,0.5,browser,pending_validation,unknown,unknown,
wait_for_greeting,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
hyphenation_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
end_call_phrases,JSON,True,,browser,pending_validation,unknown,unknown,
response_delay_seconds_phone,FLOAT,True,0.8,phone,pending_validation,unknown,unknown,
wait_for_greeting_phone,BOOLEAN,True,True,phone,pending_validation,unknown,unknown,
hyphenation_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
end_call_phrases_phone,JSON,True,,phone,pending_validation,unknown,unknown,
response_delay_seconds_telnyx,FLOAT,True,0.8,telnyx,pending_validation,unknown,unknown,
wait_for_greeting_telnyx,BOOLEAN,True,True,telnyx,pending_validation,unknown,unknown,
hyphenation_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
end_call_phrases_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
twilio_account_sid,VARCHAR,True,,global,pending_validation,unknown,unknown,
twilio_auth_token,VARCHAR,True,,global,pending_validation,unknown,unknown,
twilio_from_number,VARCHAR,True,,global,pending_validation,unknown,unknown,
telnyx_api_key,VARCHAR,True,,global,pending_validation,unknown,unknown,
telnyx_api_user,VARCHAR,True,,browser,pending_validation,unknown,unknown,
telnyx_connection_id,VARCHAR,True,,global,pending_validation,unknown,unknown,
caller_id_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
sip_trunk_uri_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
sip_auth_user_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
sip_auth_pass_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
fallback_number_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
geo_region_phone,VARCHAR,True,us-east-1,phone,pending_validation,unknown,unknown,
caller_id_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
sip_trunk_uri_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
sip_auth_user_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
sip_auth_pass_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
fallback_number_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
geo_region_telnyx,VARCHAR,True,us-central,telnyx,pending_validation,unknown,unknown,
tools_schema,JSON,True,,browser,pending_validation,unknown,unknown,
tools_async,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
client_tools_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
tool_server_url,VARCHAR,True,,browser,pending_validation,unknown,unknown,
tool_server_secret,VARCHAR,True,,browser,pending_validation,unknown,unknown,
tool_timeout_ms,INTEGER,True,5000,browser,pending_validation,unknown,unknown,
tool_retry_count,INTEGER,True,0,browser,pending_validation,unknown,unknown,
tool_error_msg,TEXT,True,"Lo siento, hubo un error técnico.",browser,pending_validation,unknown,unknown,
tool_server_url_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
tool_server_secret_phone,VARCHAR,True,,phone,pending_validation,unknown,unknown,
tool_timeout_ms_phone,INTEGER,True,5000,phone,pending_validation,unknown,unknown,
tool_retry_count_phone,INTEGER,True,0,phone,pending_validation,unknown,unknown,
tool_error_msg_phone,TEXT,True,"Lo siento, hubo un error técnico.",phone,pending_validation,unknown,unknown,
tool_server_url_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
tool_server_secret_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
tool_timeout_ms_telnyx,INTEGER,True,5000,telnyx,pending_validation,unknown,unknown,
tool_retry_count_telnyx,INTEGER,True,0,telnyx,pending_validation,unknown,unknown,
tool_error_msg_telnyx,TEXT,True,"Lo siento, hubo un error técnico.",telnyx,pending_validation,unknown,unknown,
webhook_url_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
webhook_secret_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
crm_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
baserow_token_telnyx,VARCHAR,True,,telnyx,pending_validation,unknown,unknown,
baserow_table_id_telnyx,INTEGER,True,,telnyx,pending_validation,unknown,unknown,
redact_params,JSON,True,,browser,pending_validation,unknown,unknown,
transfer_whitelist,JSON,True,,browser,pending_validation,unknown,unknown,
state_injection_enabled,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
redact_params_phone,JSON,True,,phone,pending_validation,unknown,unknown,
transfer_whitelist_phone,JSON,True,,phone,pending_validation,unknown,unknown,
state_injection_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
redact_params_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
transfer_whitelist_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
state_injection_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
recording_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
recording_channels_phone,VARCHAR,True,mono,phone,pending_validation,unknown,unknown,
hipaa_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
recording_channels_telnyx,VARCHAR,True,dual,telnyx,pending_validation,unknown,unknown,
hipaa_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
transfer_type_phone,VARCHAR,True,cold,phone,pending_validation,unknown,unknown,
dtmf_generation_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
dtmf_listening_enabled_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
transfer_type_telnyx,VARCHAR,True,cold,telnyx,pending_validation,unknown,unknown,
dtmf_generation_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
dtmf_listening_enabled_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
async_tools,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
tools_schema_phone,JSON,True,,phone,pending_validation,unknown,unknown,
async_tools_phone,BOOLEAN,True,False,phone,pending_validation,unknown,unknown,
tools_schema_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
async_tools_telnyx,BOOLEAN,True,False,telnyx,pending_validation,unknown,unknown,
rate_limit_global,INTEGER,True,200,browser,pending_validation,unknown,unknown,
rate_limit_twilio,INTEGER,True,30,browser,pending_validation,unknown,unknown,
rate_limit_telnyx,INTEGER,True,50,telnyx,pending_validation,unknown,unknown,
rate_limit_websocket,INTEGER,True,100,browser,pending_validation,unknown,unknown,
limit_groq_tokens_per_min,INTEGER,True,100000,browser,pending_validation,unknown,unknown,
limit_azure_requests_per_min,INTEGER,True,100,browser,pending_validation,unknown,unknown,
limit_twilio_calls_per_hour,INTEGER,True,100,browser,pending_validation,unknown,unknown,
limit_telnyx_calls_per_hour,INTEGER,True,100,browser,pending_validation,unknown,unknown,
concurrency_limit,INTEGER,True,10,global,pending_validation,unknown,unknown,
spend_limit_daily,FLOAT,True,50.0,global,pending_validation,unknown,unknown,
environment,VARCHAR,True,development,global,pending_validation,unknown,unknown,
privacy_mode,BOOLEAN,True,False,global,pending_validation,unknown,unknown,
audit_log_enabled,BOOLEAN,True,True,global,pending_validation,unknown,unknown,
noise_suppression_level,VARCHAR,True,balanced,browser,pending_validation,unknown,unknown,
audio_codec,VARCHAR,True,PCMU,browser,pending_validation,unknown,unknown,
enable_backchannel,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
analysis_prompt,TEXT,True,,browser,pending_validation,unknown,unknown,
success_rubric,TEXT,True,,browser,pending_validation,unknown,unknown,
extraction_schema,JSON,True,,browser,pending_validation,unknown,unknown,
analysis_prompt_phone,TEXT,True,,phone,pending_validation,unknown,unknown,
success_rubric_phone,TEXT,True,,phone,pending_validation,unknown,unknown,
extraction_schema_phone,JSON,True,,phone,pending_validation,unknown,unknown,
analysis_prompt_telnyx,TEXT,True,,telnyx,pending_validation,unknown,unknown,
success_rubric_telnyx,TEXT,True,,telnyx,pending_validation,unknown,unknown,
extraction_schema_telnyx,JSON,True,,telnyx,pending_validation,unknown,unknown,
sentiment_analysis,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
transcript_format,VARCHAR,True,text,browser,pending_validation,unknown,unknown,
